symbol,name,sector
AKSHOPTFBR,Aksh Optifibre Limited,Technology
AKUMS,N/A,Healthcare
AKZOINDIA,Akzo Nobel India Limited,Basic Materials
ALANKIT,Alankit Limited,Technology
ALBERTDAVD,Albert David Limited,Healthcare
ALEMBICLTD,Alembic Limited,Real Estate
ALICON,Alicon Castalloy Limited,Industrials
ALKALI,Alkali Metals Limited,Basic Materials
ALKEM,Alkem Laboratories Limited,Healthcare
ALKYLAMINE,Alkyl Amines Chemicals Limited,Basic Materials
ALLCARGO,Allcargo Logistics Limited,Industrials
ALLDIGI,Alldigi Tech Limited,Industrials
ALMONDZ,Almondz Global Securities Limited,Financial Services
ALOKINDS,Alok Industries Limited,Consumer Cyclical
ALPA,Alpa Laboratories Limited,Healthcare
ALPHAGEO,Alphageo (India) Limited,Energy
ALPSINDUS,Alps Industries Limited,Consumer Cyclical
AMBER,Amber Enterprises India Limited,Consumer Cyclical
AMBICAAGAR,Ambica Agarbathies Aroma & Industries Limited,Consumer Defensive
AMBIKCO,Ambika Cotton Mills Limited,Consumer Cyclical
AMBUJACEM,Ambuja Cements Limited,Basic Materials
AMDIND,AMD Industries Limited,Consumer Cyclical
AMIORG,Ami Organics Limited,Basic Materials
AMJLAND,AMJ Land Holdings Limited,Real Estate
AMNPLST,Amines & Plasticizers Limited,Basic Materials
AMRUTANJAN,Amrutanjan Health Care Limited,Healthcare
ANANDRATHI,Anand Rathi Wealth Limited,Financial Services
ANANTRAJ,Anant Raj Limited,Real Estate
ANDHRAPAP,Andhra Paper Limited,Basic Materials
ANDHRSUGAR,The Andhra Sugars Limited,Basic Materials
ANGELONE,Angel One Limited,Financial Services
ANIKINDS,Anik Industries Limited,Consumer Defensive
ANKITMETAL,Ankit Metal & Power Limited,Basic Materials
ANMOL,Anmol India Limited,Energy
ANTGRAPHIC,Antarctica Limited,Consumer Cyclical
ANUP,The Anup Engineering Limited,Industrials
ANURAS,Anupam Rasayan India Ltd,Basic Materials
APARINDS,APAR Industries Limited,Industrials
APCL,Anjani Portland Cement Limited,Basic Materials
APCOTEXIND,Apcotex Industries Limited,Basic Materials
APEX,Apex Frozen Foods Limited,Consumer Defensive
APLAPOLLO,APL Apollo Tubes Limited,Basic Materials
APLLTD,Alembic Pharmaceuticals Limited,Healthcare
APOLLO,Apollo Micro Systems Limited,Industrials
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Healthcare
APOLLOPIPE,Apollo Pipes Limited,Industrials
APOLLOTYRE,Apollo Tyres Limited,Consumer Cyclical
APOLSINHOT,Apollo Sindoori Hotels Limited,Industrials
APTECHT,Aptech Limited,Consumer Defensive
APTUS,Aptus Value Housing Finance India Limited,Financial Services
ARCHIDPLY,Archidply Industries Limited,Basic Materials
ARCHIES,Archies Limited,Consumer Cyclical
ARE&M,Amara Raja Energy & Mobility Limited,Industrials
ARENTERP,Rajdarshan Industries Limited,Basic Materials
ARIES,Aries Agro Limited,Basic Materials
ARIHANTCAP,Arihant Capital Markets Limited,Financial Services
ARIHANTSUP,Arihant Superstructures Limited,Real Estate
ARKADE,N/A,Real Estate
ARMANFIN,Arman Financial Services Limited,Financial Services
AROGRANITE,Aro Granite Industries Limited,Industrials
ARROWGREEN,Arrow Greentech Limited,Consumer Cyclical
ARSHIYA,Arshiya Limited,Industrials
ARSSINFRA,ARSS Infrastructure Projects Limited,Industrials
ARTEMISMED,Artemis Medicare Services Limited,N/A
ARTNIRMAN,Art Nirman Limited,Real Estate
ARVEE,Arvee Laboratories (India) Ltd.,Basic Materials
ARVIND,Arvind Limited,Consumer Cyclical
ARVINDFASN,Arvind Fashions Limited,Consumer Cyclical
ARVSMART,Arvind SmartSpaces Limited,Real Estate
ASAHIINDIA,Asahi India Glass Limited,Consumer Cyclical
ASAHISONG,Asahi Songwon Colors Limited,Basic Materials
ASAL,Automotive Stampings and Assemblies Limited,Consumer Cyclical
ASALCBR,Associated Alcohols & Breweries Limited,Consumer Defensive
ASHAPURMIN,Ashapura Minechem Limited,Basic Materials
ASHIANA,Ashiana Housing Limited,Real Estate
ASHIMASYN,Ashima Limited,Consumer Cyclical
ASHOKA,Ashoka Buildcon Limited,Industrials
ASHOKAMET,Ashoka Metcast Limited,Basic Materials
ASHOKLEY,Ashok Leyland Limited,Industrials
ASIANENE,Asian Energy Services Limited,Energy
ASIANHOTNR,Asian Hotels (North) Limited,Consumer Cyclical
ASIANPAINT,Asian Paints Limited,Basic Materials
ASIANTILES,Asian Granito India Limited,Industrials
ASKAUTOLTD,N/A,Consumer Cyclical
ASMS,Bartronics India Limited,Technology
ASPINWALL,Aspinwall and Company Limited,Consumer Defensive
ASTEC,Astec LifeSciences Limited,Basic Materials
ASTERDM,Aster DM Healthcare Limited,Healthcare
ASTRAL,Astral Limited,Industrials
ASTRAMICRO,Astra Microwave Products Limited,Technology
ASTRAZEN,AstraZeneca Pharma India Limited,Healthcare
ASTRON,Astron Paper & Board Mill Limited,Basic Materials
ATALREAL,Atal Realtech Limited,Industrials
ATAM,Atam Valves Limited,Industrials
ATFL,Agro Tech Foods Limited,Consumer Defensive
ATGL,Adani Total Gas Limited,Utilities
ATL,Allcargo Terminals Limited,Industrials
ATLANTAA,Atlantaa Limited,Industrials
ATUL,Atul Ltd,Basic Materials
ATULAUTO,Atul Auto Limited,Consumer Cyclical
AUBANK,AU Small Finance Bank Limited,Financial Services
AURIONPRO,Aurionpro Solutions Limited,Technology
AUROPHARMA,Aurobindo Pharma Limited,Healthcare
AURUM,Aurum PropTech Limited,Real Estate
AUSOMENT,AuSom Enterprise Limited,Financial Services
AUTOAXLES,Automotive Axles Limited,Consumer Cyclical
AUTOIND,Autoline Industries Limited,Consumer Cyclical
AVADHSUGAR,Avadh Sugar & Energy Limited,Consumer Defensive
AVALON,Avalon Technologies Limited,Technology
AVANTEL,Avantel Limited,Technology
AVANTIFEED,Avanti Feeds Limited,Consumer Defensive
AVG,AVG Logistics Limited,Industrials
AVONMORE,Avonmore Capital & Management Services Limited,Financial Services
AVROIND,Avro India Limited,Consumer Cyclical
AVTNPL,AVT Natural Products Limited,Basic Materials
AWFIS,N/A,Industrials
AWHCL,Antony Waste Handling Cell Limited,Industrials
AWL,Adani Wilmar Limited,Consumer Defensive
AXISBANK,Axis Bank Limited,Financial Services
AXISCADES,AXISCADES Technologies Limited,Industrials
AXITA,Axita Cotton Limited,Consumer Cyclical
AYMSYNTEX,AYM Syntex Limited,Consumer Cyclical
AZAD,N/A,Industrials
BAFNAPH,Bafna Pharmaceuticals Limited,Healthcare
BAGFILMS,B.A.G. Films and Media Limited,Communication Services
BAIDFIN,Baid Finserv Limited,Financial Services
BAJAJ-AUTO,Bajaj Auto Limited,Consumer Cyclical
BAJAJCON,Bajaj Consumer Care Limited,Consumer Defensive
BAJAJELEC,Bajaj Electricals Limited,Consumer Cyclical
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services
BAJAJHCARE,Bajaj HealthCare Limited,Healthcare
BAJAJHFL,N/A,Financial Services
BAJAJHIND,Bajaj Hindusthan Sugar Limited,Consumer Defensive
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Financial Services
BAJEL,Bajel Projects Limited,Utilities
BAJFINANCE,Bajaj Finance Limited,Financial Services
BALAJEE,N/A,Consumer Cyclical
BALAJITELE,Balaji Telefilms Limited,Communication Services
BALAMINES,Balaji Amines Limited,Basic Materials
BALAXI,Balaxi Pharmaceuticals Limited,Healthcare
BALKRISHNA,Balkrishna Paper Mills Limited,Consumer Cyclical
BALKRISIND,Balkrishna Industries Limited,Consumer Cyclical
BALMLAWRIE,Balmer Lawrie & Co. Ltd.,Industrials
BALPHARMA,Bal Pharma Limited,Healthcare
BALRAMCHIN,Balrampur Chini Mills Limited,Consumer Defensive
BALUFORGE,Balu Forge Industries Limited,Industrials
BANARBEADS,Banaras Beads Limited,Consumer Cyclical
BANARISUG,Bannari Amman Sugars Limited,Consumer Defensive
BANCOINDIA,Banco Products (India) Limited,Consumer Cyclical
BANDHANBNK,Bandhan Bank Limited,Financial Services
BANG,Bang Overseas Limited,Consumer Cyclical
BANKA,Banka BioLoo Limited,Industrials
BANKBARODA,Bank of Baroda Limited,Financial Services
BANKINDIA,Bank of India Limited,Financial Services
BANSALWIRE,N/A,Basic Materials
BANSWRAS,Banswara Syntex Limited,Consumer Cyclical
BARBEQUE,Barbeque-Nation Hospitality Limited,Consumer Cyclical
BASF,BASF India Limited,Basic Materials
BASML,Bannari Amman Spinning Mills Ltd,Consumer Cyclical
BATAINDIA,Bata India Limited,Consumer Cyclical
BAYERCROP,Bayer CropScience Limited,Basic Materials
BBL,Bharat Bijlee Limited,Industrials
BBOX,Black Box Limited,Technology
BBTC,"The Bombay Burmah Trading Corporation, Limited",Consumer Defensive
BBTCL,B&B Triplewall Containers Limited,Consumer Cyclical
BCLIND,BCL Industries Limited,Consumer Defensive
BCONCEPTS,Brand Concepts Limited,Consumer Cyclical
BDL,Bharat Dynamics Limited,Industrials
BEARDSELL,Beardsell Limited,Industrials
BECTORFOOD,Mrs. Bectors Food Specialities Limited,Consumer Defensive
BEDMUTHA,Bedmutha Industries Limited,Basic Materials
BEL,Bharat Electronics Limited,Industrials
BEML,BEML Limited,Industrials
BEPL,Bhansali Engineering Polymers Limited,Basic Materials
BERGEPAINT,Berger Paints India Limited,Basic Materials
BESTAGRO,Best Agrolife Limited,Basic Materials
BFINVEST,BF Investment Limited,Financial Services
BFUTILITIE,BF Utilities Limited,Utilities
BGRENERGY,BGR Energy Systems Limited,Industrials
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,Basic Materials
BHAGERIA,Bhageria Industries Limited,Basic Materials
BHAGYANGR,Bhagyanagar India Limited,Basic Materials
BHANDARI,Bhandari Hosiery Exports Limited,Consumer Cyclical
BHARATFORG,Bharat Forge Limited,Consumer Cyclical
BHARATGEAR,Bharat Gears Limited,Consumer Cyclical
BHARATRAS,Bharat Rasayan Limited,Basic Materials
BHARATWIRE,Bharat Wire Ropes Limited,Basic Materials
BHARTIARTL,Bharti Airtel Limited,Communication Services
BHARTIHEXA,N/A,Communication Services
BHEL,Bharat Heavy Electricals Limited,Industrials
BIGBLOC,Bigbloc Construction Limited,Industrials
BIKAJI,Bikaji Foods International Limited,Consumer Defensive
BIL,Bhartiya International Ltd.,Consumer Cyclical
BINANIIND,Binani Industries Limited,Basic Materials
BIOCON,Biocon Limited,Healthcare
BIOFILCHEM,Biofil Chemicals and Pharmaceuticals Limited,Healthcare
BIRLACABLE,Birla Cable Limited,Technology
BIRLACORPN,Birla Corporation Limited,Basic Materials
BIRLAMONEY,Aditya Birla Money Limited,Financial Services
BLAL,BEML Land Assets Limited,Financial Services
BLBLIMITED,BLB Limited,Financial Services
BLISSGVS,Bliss GVS Pharma Limited,Healthcare
BLKASHYAP,B.L. Kashyap and Sons Limited,Industrials
BLS,BLS International Services Limited,Industrials
BLSE,N/A,Industrials
BLUECHIP,Blue Chip India Limited,Financial Services
BLUEDART,Blue Dart Express Limited,Industrials
BLUEJET,Blue Jet Healthcare Limited,Healthcare
BLUESTARCO,Blue Star Limited,Industrials
BODALCHEM,Bodal Chemicals Limited,Basic Materials
BOMDYEING,The Bombay Dyeing and Manufacturing Company Limited,Consumer Cyclical
BOROLTD,Borosil Limited,Consumer Cyclical
BORORENEW,Borosil Renewables Limited,Basic Materials
BOROSCI,Borosil Scientific Limited,Consumer Cyclical
BOSCHLTD,Bosch Limited,Consumer Cyclical
BPCL,Bharat Petroleum Corporation Limited,Energy
BPL,BPL Limited,Technology
BRIGADE,Brigade Enterprises Limited,Real Estate
BRITANNIA,Britannia Industries Limited,Consumer Defensive
BRNL,Bharat Road Network Limited,Industrials
BROOKS,Brooks Laboratories Limited,Healthcare
BSE,BSE Limited,Financial Services
BSHSL,Bombay Super Hybrid Seeds Limited,Basic Materials
BSL,BSL Limited,Consumer Cyclical
BSOFT,Birlasoft Limited,Technology
BTML,Bodhi Tree Multimedia Limited,Communication Services
BURNPUR,Burnpur Cement Limited,Basic Materials
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,Consumer Cyclical
BVCL,Barak Valley Cements Limited,Basic Materials
BYKE,The Byke Hospitality Limited,Consumer Cyclical
CALSOFT,California Software Company Limited,Technology
CAMLINFINE,Camlin Fine Sciences Limited,Basic Materials
CAMPUS,Campus Activewear Limited,Consumer Cyclical
CAMS,Computer Age Management Services Limited,Technology
CANBK,Canara Bank,Financial Services
CANFINHOME,Can Fin Homes Limited,Financial Services
CANTABIL,Cantabil Retail India Limited,Consumer Cyclical
CAPACITE,Capacit'e Infraprojects Limited,Industrials
CAPITALSFB,Capital Small Finance Bank Limited,Financial Services
CAPLIPOINT,Caplin Point Laboratories Limited,Healthcare
CAPTRUST,Capital Trust Limited,Financial Services
CARBORUNIV,Carborundum Universal Limited,Industrials
CAREERP,Career Point Limited,Industrials
CARERATING,CARE Ratings Limited,Financial Services
CARTRADE,CarTrade Tech Limited,Consumer Cyclical
CARYSIL,Carysil Limited,Consumer Cyclical
CASTROLIND,Castrol India Limited,Energy
CCCL,Consolidated Construction Consortium Limited,Industrials
CCHHL,Country Club Hospitality & Holidays Limited,Consumer Cyclical
CCL,CCL Products (India) Limited,Consumer Defensive
CDSL,Central Depository Services (India) Limited,Financial Services
CEATLTD,CEAT Limited,Consumer Cyclical
CEIGALL,N/A,Industrials
CELEBRITY,Celebrity Fashions Limited,Consumer Cyclical
CELLO,Cello World Limited,Consumer Cyclical
CENTENKA,Century Enka Limited,Consumer Cyclical
CENTEXT,Century Extrusions Limited,Basic Materials
CENTRALBK,Central Bank of India,Financial Services
CENTRUM,Centrum Capital Limited,Financial Services
CENTUM,Centum Electronics Limited,Technology
CENTURYPLY,Century Plyboards (India) Limited,Basic Materials
CERA,Cera Sanitaryware Limited,Industrials
CEREBRAINT,Cerebra Integrated Technologies Limited,Technology
CESC,CESC Limited,Utilities
CGCL,Capri Global Capital Limited,Financial Services
CGPOWER,CG Power and Industrial Solutions Limited,Industrials
CHALET,Chalet Hotels Limited,Consumer Cyclical
CHAMBLFERT,Chambal Fertilisers and Chemicals Limited,Basic Materials
CHEMBOND,Chembond Chemicals Limited,Basic Materials
CHEMCON,Chemcon Speciality Chemicals Limited,Basic Materials
CHEMFAB,Chemfab Alkalis Limited,Basic Materials
CHEMPLASTS,Chemplast Sanmar Limited,Basic Materials
CHENNPETRO,Chennai Petroleum Corporation Limited,Energy
CHEVIOT,Cheviot Company Limited,Consumer Cyclical
CHOICEIN,Choice International Limited,Financial Services
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Financial Services
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,Financial Services
CIEINDIA,CIE Automotive India Limited,Consumer Cyclical
CIGNITITEC,Cigniti Technologies Limited,Technology
CINELINE,Cineline India Limited,Communication Services
CINEVISTA,Cinevista Limited,Communication Services
CIPLA,Cipla Limited,Healthcare
CLEAN,Clean Science and Technology Limited,Basic Materials
CLEDUCATE,CL Educate Limited,Consumer Defensive
CLSEL,Chaman Lal Setia Exports Ltd.,Consumer Defensive
CMSINFO,CMS Info Systems Limited,Industrials
COALINDIA,Coal India Limited,Energy
COASTCORP,Coastal Corporation Limited,Consumer Defensive
COCHINSHIP,Cochin Shipyard Limited,Industrials
COFFEEDAY,Coffee Day Enterprises Limited,Consumer Cyclical
COFORGE,Coforge Limited,Technology
COLPAL,Colgate-Palmolive (India) Limited,Consumer Defensive
COMPUSOFT,Compucom Software Limited,Consumer Defensive
COMSYN,Commercial Syn Bags Limited,Consumer Cyclical
CONCOR,Container Corporation of India Limited,Industrials
CONCORDBIO,Concord Biotech Limited,Healthcare
CONFIPET,Confidence Petroleum India Limited,Energy
CONSOFINVT,Consolidated Finvest & Holdings Limited,Financial Services
CONTROLPR,Control Print Limited,Industrials
CORALFINAC,Coral India Finance and Housing Limited,Real Estate
CORDSCABLE,Cords Cable Industries Limited,Industrials
COROMANDEL,Coromandel International Limited,Basic Materials
COSMOFIRST,Cosmo First Limited,Consumer Cyclical
COUNCODOS,Country Condo's Limited,Real Estate
CRAFTSMAN,Craftsman Automation Limited,Consumer Cyclical
CREATIVE,Creative Newtech Limited,Technology
CREATIVEYE,Creative Eye Limited,Communication Services
CREDITACC,CreditAccess Grameen Limited,Financial Services
CREST,Crest Ventures Limited,Financial Services
CRISIL,CRISIL Limited,Financial Services
CROMPTON,Crompton Greaves Consumer Electricals Limited,Consumer Cyclical
CROWN,Crown Lifters Limited,Industrials
CSBBANK,CSB Bank Limited,Financial Services
CSLFINANCE,CSL Finance Limited,Financial Services
CTE,Cambridge Technology Enterprises Limited,Technology
CUB,City Union Bank Limited,Financial Services
CUBEXTUB,Cubex Tubings Limited,Basic Materials
CUMMINSIND,Cummins India Limited,Industrials
CUPID,Cupid Limited,Consumer Defensive
CYBERMEDIA,Cyber Media (India) Limited,Communication Services
CYBERTECH,CyberTech Systems and Software Limited,Technology
CYIENT,Cyient Limited,Industrials
CYIENTDLM,Cyient DLM Limited,Technology
DABUR,Dabur India Limited,Consumer Defensive
DALBHARAT,Dalmia Bharat Limited,Basic Materials
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,Consumer Defensive
DAMODARIND,Damodar Industries Limited,Consumer Cyclical
DANGEE,Dangee Dums Limited,Consumer Cyclical
DATAMATICS,Datamatics Global Services Limited,Technology
DATAPATTNS,Data Patterns (India) Limited,Industrials
DAVANGERE,Davangere Sugar Company Limited,Consumer Defensive
DBCORP,D. B. Corp Limited,Communication Services
DBL,Dilip Buildcon Limited,Industrials
DBOL,Dhampur Bio Organics Limited,Consumer Defensive
DBREALTY,Valor Estate Limited,Real Estate
DBSTOCKBRO,DB (International) Stock Brokers Limited,Financial Services
DCAL,Dishman Carbogen Amcis Limited,Healthcare
DCBBANK,DCB Bank Limited,Financial Services
DCI,DC Infotech and Communication Limited,Technology
DCM,DCM Limited,Industrials
DCMFINSERV,DCM Financial Services Limited,Financial Services
DCMNVL,DCM Nouvelle Limited,Consumer Cyclical
DCMSHRIRAM,DCM Shriram Limited,Basic Materials
DCMSRIND,DCM Shriram Industries Limited,Consumer Defensive
DCW,DCW Limited,Basic Materials
DCXINDIA,DCX Systems Limited,Industrials
DECCANCE,Deccan Cements Limited,Basic Materials
DEEDEV,N/A,Industrials
DEEPAKFERT,Deepak Fertilisers And Petrochemicals Corporation Limited,Basic Materials
DEEPAKNTR,Deepak Nitrite Limited,Basic Materials
DEEPINDS,Deep Industries Limited,Energy
DELHIVERY,Delhivery Limited,Industrials
DELPHIFX,Delphi World Money Limited,Financial Services
DELTACORP,Delta Corp Limited,Consumer Cyclical
DELTAMAGNT,Delta Manufacturing Limited,Industrials
DEN,DEN Networks Limited,Communication Services
DENORA,De Nora India Limited,Industrials
DEVIT,Dev Information Technology Limited,Technology
DEVYANI,Devyani International Limited,Consumer Cyclical
DGCONTENT,Digicontent Limited,Communication Services
DHAMPURSUG,Dhampur Sugar Mills Limited,Consumer Defensive
DHANBANK,Dhanlaxmi Bank Limited,Financial Services
DHANI,Dhani Services Limited,Financial Services
DHANUKA,Dhanuka Agritech Limited,Basic Materials
DHARMAJ,Dharmaj Crop Guard Limited,Basic Materials
DHRUV,Dhruv Consultancy Services Limited,Industrials
DHUNINV,Dhunseri Investments Limited,Financial Services
DIACABS,Diamond Power Infrastructure Limited,Industrials
DIAMINESQ,Diamines and Chemicals Limited,Basic Materials
DIAMONDYD,Prataap Snacks Limited,Consumer Defensive
DICIND,DIC India Limited,Basic Materials
DIFFNKG,N/A,Industrials
DIGIDRIVE,Digidrive Distributors Limited,Consumer Cyclical
DIGISPICE,DiGiSPICE Technologies Limited,Technology
DIGJAMLMTD,Digjam Limited,N/A
DIL,Debock Industries Limited,Industrials
DISHTV,Dish TV India Limited,Communication Services
DIVGIITTS,Divgi TorqTransfer Systems Limited,Consumer Cyclical
DIVISLAB,Divi's Laboratories Limited,Healthcare
DIXON,Dixon Technologies (India) Limited,Technology
DJML,DJ Mediaprint & Logistics Limited,Industrials
DLF,DLF Limited,Real Estate
DLINKINDIA,D-Link (India) Limited,Technology
DMART,Avenue Supermarts Limited,Consumer Defensive
DMCC,DMCC Speciality Chemicals Limited,Basic Materials
DNAMEDIA,Diligent Media Corporation Limited,Communication Services
DODLA,Dodla Dairy Limited,Consumer Defensive
DOLATALGO,Dolat Algotech Limited,Financial Services
DOLLAR,Dollar Industries Limited,Consumer Cyclical
DOLPHIN,Dolphin Offshore Enterprises (India) Limited,Energy
DOMS,DOMS Industries Limited,Industrials
DONEAR,Donear Industries Limited,Consumer Cyclical
DPABHUSHAN,D. P. Abhushan Limited,Consumer Cyclical
DPSCLTD,India Power Corporation Limited,Utilities
DPWIRES,D.P. Wires Limited,Industrials
DRCSYSTEMS,DRC Systems India Limited,Technology
DREAMFOLKS,Dreamfolks Services Limited,Industrials
DREDGECORP,Dredging Corporation of India Limited,Industrials
DRREDDY,Dr. Reddy's Laboratories Limited,Healthcare
DSSL,Dynacons Systems & Solutions Limited,Technology
DTIL,Dhunseri Tea & Industries Limited,Consumer Defensive
DUCON,Ducon Infratechnologies Limited,Industrials
DVL,Dhunseri Ventures Limited,Financial Services
DWARKESH,Dwarikesh Sugar Industries Limited,Consumer Defensive
DYCL,Dynamic Cables Limited,Industrials
DYNAMATECH,Dynamatic Technologies Limited,Consumer Cyclical
DYNPRO,Dynemic Products Limited,Basic Materials
E2E,E2E Networks Limited,Technology
EASEMYTRIP,Easy Trip Planners Limited,Consumer Cyclical
ECLERX,eClerx Services Limited,Technology
ECOSMOBLTY,N/A,Industrials
EDELWEISS,Edelweiss Financial Services Limited,Financial Services
EICHERMOT,Eicher Motors Limited,Consumer Cyclical
EIDPARRY,E.I.D.- Parry (India) Limited,Basic Materials
EIFFL,Euro India Fresh Foods Limited,Consumer Defensive
EIHAHOTELS,EIH Associated Hotels Limited,Consumer Cyclical
EIHOTEL,EIH Limited,Consumer Cyclical
EIMCOELECO,Eimco Elecon (India) Limited,Industrials
EKC,Everest Kanto Cylinder Limited,Industrials
ELDEHSG,Eldeco Housing and Industries Limited,Real Estate
ELECON,Elecon Engineering Company Limited,Industrials
ELECTCAST,Electrosteel Castings Limited,Industrials
ELECTHERM,Electrotherm (India) Limited,Basic Materials
ELGIEQUIP,Elgi Equipments Limited,Industrials
ELGIRUBCO,Elgi Rubber Company Limited,Consumer Cyclical
ELIN,Elin Electronics Limited,Industrials
EMAMILTD,Emami Limited,Consumer Defensive
EMAMIPAP,Emami Paper Mills Limited,N/A
EMAMIREAL,Emami Realty Limited,Real Estate
EMBDL,N/A,Real Estate
EMCURE,N/A,Healthcare
EMIL,Electronics Mart India Limited,Consumer Cyclical
EMKAY,Emkay Global Financial Services Limited,Financial Services
EMMBI,Emmbi Industries Limited,Consumer Cyclical
EMSLIMITED,EMS Limited,Industrials
EMUDHRA,eMudhra Limited,Technology
ENDURANCE,Endurance Technologies Limited,Consumer Cyclical
ENERGYDEV,Energy Development Company Limited,Utilities
ENGINERSIN,Engineers India Limited,Industrials
ENIL,Entertainment Network (India) Limited,Communication Services
ENTERO,Entero Healthcare Solutions Limited,Healthcare
EPACK,EPACK Durable Limited,Consumer Cyclical
EPIGRAL,Epigral Limited,Basic Materials
EPL,EPL Limited,Consumer Cyclical
EQUIPPP,Equippp Social Impact Technologies Limited,Basic Materials
EQUITASBNK,Equitas Small Finance Bank Limited,Financial Services
ERIS,Eris Lifesciences Limited,Healthcare
EROSMEDIA,Eros International Media Limited,Communication Services
ESABINDIA,ESAB India Limited,Industrials
ESAFSFB,ESAF Small Finance Bank,Financial Services
ESCORTS,Escorts Kubota Limited,Industrials
ESSARSHPNG,Essar Shipping Limited,Industrials
ESSENTIA,Integra Essentia Limited,Consumer Defensive
ESTER,Ester Industries Limited,Basic Materials
ETHOSLTD,Ethos Limited,Consumer Cyclical
